title
"Dr Andriyanto, Alumnus UNAIR yang Dilantik Menjadi Pj Bupati Pasuruan"
"UNAIR Raih 4,5 Trees Rating pada UI GreenMetric World University Ranking"
Pakar Politik UNAIR Sebut Pengusungan Gibran Jadi Strategi Jangka Panjang
"Berkomitmen Tingkatkan Transparansi Informasi, UNAIR Gabung JDIH"
"Komitmen Tingkatkan Kualitas Pendidikan, Rektor UNAIR Kukuhkan Enam Guru Besar"
"Tambah Lagi, UNAIR Kini Miliki 11 Jurnal Ilmiah Terindeks Scopus"
UNAIR Raih Anugerah Jatim Bangkit Awards Berkat Sukseskan Pemulihan Pandemi
"Kukuhkan Tujuh Guru Besar, Rektor UNAIR Ajak Akademisi Tingkatkan Daya Kritis"
"Beri Kuliah Tamu di UNAIR, Mahfud MD Tekankan Pentingnya Politik Kebangsaan"
UNAIR Anugerahi Khofifah Gelar Doktor Honoris Causa
"UNAIR Luluskan 1.382 Wisudawan, Rektor: Anda Orang-Orang Terpilih"
Rektor Beri Pesan Gubes untuk Bumikan Ilmu Pengetahuan
